
-----------------------------------------
 alg    C     Cn     Crob     CrobScaled
 wt    294    1        0          0

 wt    295    1        0          0

 wt    296    1        0          0

 wt    297    1        0          0

 wt    298    1        0          0

 wt    299    1        0          0

 wt    300    1        0          0

 wt    301    1        0          0

 wt    302    1        0          0

 wt    303    1        0          0

 wt    304    1        0          0

 wt    305    1        0          0

 wt    306    1        0          0

 wt    307    1        0          0

 wt    308    1        0          0

 wt    309    1        0          0

 wt    310    1        0          0

 wt    311    1        0          0

 wt    312    1        0          0

 wt    313    1        0          0

 wt    314    1        0          0

 wt    315    1        0          0

 wt    316    1        0          0

 wt    317    1        0          0

 wt    318    1        0          0

 wt    319    1        0          0

 wt    320    1        0          0

 wt    321    1        0          0

 wt    322    1        0          0

 wt    323    1        0          0

 wt    324    1        0          0

 wt    325    1        0          0

 wt    326    1        0          0

 wt    327    1        0          0

 wt    328    1        0          0

 wt    329    1        0          0

 wt    330    1        0          0

 wt    331    1        0          0

 wt    332    1        0          0

 wt    333    1        0          0

 wt    334    1        0          0

 wt    335    1        0          0

 wt    336    1        0          0

 wt    337    1        0          0

 wt    338    1        0          0

 wt    339    1        0          0

 wt    340    1        0          0

 wt    341    1        0          0

 wt    342    1        0          0

 wt    343    1        0          0

 wt    344    1        0          0

 wt    345    1        0          0

 wt    346    1        0          0

 wt    347    1        0          0

 wt    348    1        0          0

 wt    349    1        0          0

 wt    350    1        0          0

 wt    351    1        0          0

 wt    352    1        0          0

 wt    353    1        0          0

 wt    354    1        0          0

 wt    355    1        0          0

 wt    356    1        0          0

 wt    357    1        0          0

 wt    358    1        0          0

 wt    359    1        0          0

 wt    360    1        0          0

 wt    361    1        0          0

 wt    362    1        0          0

 wt    363    1        0          0

 wt    364    1        0          0

 wt    365    1        0          0

 wt    366    1        0          0

 wt    367    1        0          0

 wt    368    1        0          0

 wt    369    1        0          0

 wt    370    1        0          0

 wt    371    1        0          0

 wt    372    1        0          0

 wt    373    1        0          0

 wt    374    1        0          0

 wt    375    1        0          0

 wt    376    1        0          0

 wt    377    1        0          0

 wt    378    1        0          0

 wt    379    1        0          0

 wt    380    1        0          0

 wt    381    1        0          0

 wt    382    1        0          0

 wt    383    1        0          0

 wt    384    1        0          0

 wt    385    1        0          0

 wt    386    1        0          0

 wt    387    1        0          0

 wt    388    1        0          0

 wt    389    1        0          0

 wt    390    1        0          0

 wt    391    1        0          0

 wt    392    1        0          0

 wt    393    1        0          0

 wt    394    1        0          0

 wt    395    1        0          0

 wt    396    1        0          0

 wt    397    1        0          0

 wt    398    1        0          0

 wt    399    1        0          0

 wt    400    1        0          0

 wt    401    1        0          0

 wt    402    1        0          0

 wt    403    1        0          0

 wt    404    1        0          0

 wt    405    1        0          0

 wt    406    1        0          0

 wt    407    1        0          0

 wt    408    1        0          0

 wt    409    1        0          0

 wt    410    1        0          0

 wt    411    1        0          0

 wt    412    1        0          0

 wt    413    1        0          0

 wt    414    1        0          0

 wt    415    1        0          0

 wt    416    1        0          0

 wt    417    1        0          0

 wt    418    1        0          0

 wt    419    1        0          0

 wt    420    1        0          0

 wt    421    1        0          0

 wt    422    1        0          0

 wt    423    1        0          0

 wt    424    1        0          0

 wt    425    1        0          0

 wt    426    1        0          0

 wt    427    1        0          0

 wt    428    1        0          0

 wt    429    1        0          0

 wt    430    1        0          0

 wt    431    1        0          0

 wt    432    1        0          0

 wt    433    1        0          0

 wt    434    1        0          0

 wt    435    1        0          0

 wt    436    1        0          0

 wt    437    1        0          0

 wt    438    1        0          0

 wt    439    1        0          0

 wt    440    1        0          0

 wt    441    1        0          0

 wt    442    1        0          0

 wt    443    1        0          0

 wt    444    1        0          0

 wt    445    1        0          0

 wt    446    1        0          0

 wt    447    1        0          0

 wt    448    1        0          0

 wt    449    1        0          0

 wt    450    1        0          0

 wt    451    1        0          0

 wt    452    1        0          0

 wt    453    1        0          0

 wt    454    1        0          0

 wt    455    1        0          0

 wt    456    1        0          0

 wt    457    1        0          0

 wt    458    1        0          0

 wt    459    1        0          0

 wt    460    1        0          0

 wt    461    1        0          0

 wt    462    1        0          0

 wt    463    1        0          0

 wt    464    1        0          0

 wt    465    1        0          0

 wt    466    1        0          0

 wt    467    1        0          0

 wt    468    1        0          0

 wt    469    1        0          0

 wt    470    1        0          0

 wt    471    1        0          0

 wt    472    1        0          0

 wt    473    1        0          0

 wt    474    1        0          0

 wt    475    1        0          0

 wt    476    1        0          0

 wt    477    1        0          0

 wt    478    1        0          0

 wt    479    1        0          0

 wt    480    1        0          0

 wt    481    1        0          0

 wt    482    1        0          0

 wt    483    1        0          0

 wt    484    1        0          0

 wt    485    1        0          0

 wt    486    1        0          0

 wt    487    1        0          0

 wt    488    1        0          0

 wt    489    1        0          0

 wt    490    1        0          0

 wt    491    1        0          0

 wt    492    1        0          0

 wt    493    1        0          0

 wt    494    1        0          0

 wt    495    1        0          0

 wt    496    1        0          0

 wt    497    1        0          0

 wt    498    1        0          0

 wt    499    1        0          0

 wt    500    1        0          0

 wt    501    1        0          0

 wt    502    1        0          0

 wt    503    1        0          0

 wt    504    1        0          0

 wt    505    1        0          0

 wt    506    1        0          0

 wt    507    1        0          0

 wt    508    1        0          0

 wt    509    1        0          0

 wt    510    1        0          0

 wt    511    1        0          0

 wt    512    1        0          0

 wt    513    1        0          0

 wt    514    1        0          0

 wt    515    1        0          0

 wt    516    1        0          0

 wt    517    1        0          0

 wt    518    1        0          0

 wt    519    1        0          0

 wt    520    1        0          0

 wt    521    1        0          0

 wt    522    1        0          0

 wt    523    1        0          0

 wt    524    1        0          0

 wt    525    1        0          0

 wt    526    1        0          0

 wt    527    1        0          0

 wt    528    1        0          0

 wt    529    1        0          0

 wt    530    1        0          0

 wt    531    1        0          0

 wt    532    1        0          0

 wt    533    1        0          0

 wt    534    1        0          0

 wt    535    1        0          0

 wt    536    1        0          0

 wt    537    1        0          0

 wt    538    1        0          0

 wt    539    1        0          0

 wt    540    1        0          0

 wt    541    1        0          0

 wt    542    1        0          0

 wt    543    1        0          0

 wt    544    1        0          0

 wt    545    1        0          0

 wt    546    1        0          0

 wt    547    1        0          0

 wt    548    1        0          0

 wt    549    1        0          0

 wt    550    1        0          0

 wt    551    1        0          0

 wt    552    1        0          0

 wt    553    1        0          0

 wt    554    1        0          0

 wt    555    1        0          0

 wt    556    1        0          0

 wt    557    1        0          0

 wt    558    1        0          0

 wt    559    1        0          0

 wt    560    1        0          0

 wt    561    1        0          0

 wt    562    1        0          0

 wt    563    1        0          0

 wt    564    1        0          0

 wt    565    1        0          0

 wt    566    1        0          0

 wt    567    1        0          0

 wt    568    1        0          0

 wt    569    1        0          0

 wt    570    1        0          0

 wt    571    1        0          0

 wt    572    1        0          0

 wt    573    1        0          0

 wt    574    1        0          0

 wt    575    1        0          0

 wt    576    1        0          0

 wt    577    1        0          0

 wt    578    1        0          0

 wt    579    1        0          0

 wt    580    1        0          0

 wt    581    1        0          0

 wt    582    1        0          0

 wt    583    1        0          0

 wt    584    1        0          0

 wt    585    1        0          0

 wt    586    1        0          0

 wt    587    1        0          0

 wt    588    1        0          0

 wt    589    1        0          0

 wt    590    1        0          0

 wt    591    1        0          0

 wt    592    1        0          0

 wt    593    1        0          0

 wt    594    1        0          0

 wt    595    1        0          0

 wt    596    1        0          0

 wt    597    1        0          0

 wt    598    1        0          0

 wt    599    1        0          0

 wt    600    1        0          0

 wt    601    1        0          0

 wt    602    1        0          0

 wt    603    1        0          0

 wt    604    1        0          0

 wt    605    1        0          0

 wt    606    1        0          0

 wt    607    1        0          0

 wt    608    1        0          0

 wt    609    1        0          0

 wt    610    1        0          0

 wt    611    1        0          0

 wt    612    1        0          0

 wt    613    1        0          0

 wt    614    1        0          0

 wt    615    1        0          0

 wt    616    1        0          0

 wt    617    1        0          0

 wt    618    1        0          0

 wt    619    1        0          0

 wt    620    1        0          0

 wt    621    1        0          0

 wt    622    1        0          0

 wt    623    1        0          0

 wt    624    1        0          0

 wt    625    1        0          0

 wt    626    1        0          0

 wt    627    1        0          0

 wt    628    1        0          0

 wt    629    1        0          0

 wt    630    1        0          0

 wt    631    1        0          0

 wt    632    1        0          0

 wt    633    1        0          0

 wt    634    1        0          0

 wt    635    1        0          0

 wt    636    1        0          0

 wt    637    1        0          0

 wt    638    1        0          0

 wt    639    1        0          0

 wt    640    1        0          0

 wt    641    1        0          0

 wt    642    1        0          0

 wt    643    1        0          0

 wt    644    1        0          0

 wt    645    1        0          0

 wt    646    1        0          0

 wt    647    1        0          0

 wt    648    1        0          0

 wt    649    1        0          0

 wt    650    1        0          0

 wt    651    1        0          0

 wt    652    1        0          0

 wt    653    1        0          0

 wt    654    1        0          0

 wt    655    1        0          0

 wt    656    1        0          0

 wt    657    1        0          0

 wt    658    1        0          0

 wt    659    1        0          0

 wt    660    1        0          0

 wt    661    1        0          0

 wt    662    1        0          0

 wt    663    1        0          0

 wt    664    1        0          0

 wt    665    1        0          0

 wt    666    1        0          0

 wt    667    1        0          0

 wt    668    1        0          0

 wt    669    1        0          0

 wt    670    1        0          0

 wt    671    1        0          0

 wt    672    1        0          0

 wt    673    1        0          0

 wt    674    1        0          0

 wt    675    1        0          0

 wt    676    1        0          0

 wt    677    1        0          0

 wt    678    1        0          0

 wt    679    1        0          0

 wt    680    1        0          0

 wt    681    1        0          0

 wt    682    1        0          0

 wt    683    1        0          0

 wt    684    1        0          0

 wt    685    1        0          0

 wt    686    1        0          0

 wt    687    1        0          0

 wt    688    1        0          0

 wt    689    1        0          0

 wt    690    1        0          0

 wt    691    1        0          0

 wt    692    1        0          0

 wt    693    1        0          0

 wt    694    1        0          0

 wt    695    1        0          0

 wt    696    1        0          0

 wt    697    1        0          0

 wt    698    1        0          0

 wt    699    1        0          0

 wt    700    1        0          0

 wt    701    1        0          0

 wt    702    1        0          0

 wt    703    1        0          0

 wt    704    1        0          0

 wt    705    1        0          0

 wt    706    1        0          0

 wt    707    1        0          0

 wt    708    1        0          0

 wt    709    1        0          0

 wt    710    1        0          0

 wt    711    1        0          0

 wt    712    1        0          0

 wt    713    1        0          0

 wt    714    1        0          0

 wt    715    1        0          0

 wt    716    1        0          0

 wt    717    1        0          0

 wt    718    1        0          0

 wt    719    1        0          0

 wt    720    1        0          0

 wt    721    1        0          0

 wt    722    1        0          0

 wt    723    1        0          0

 wt    724    1        0          0

 wt    725    1        0          0

 wt    726    1        0          0

 wt    727    1        0          0

 wt    728    1        0          0

 wt    729    1        0          0

 wt    730    1        0          0

 wt    731    1        0          0

 wt    732    1        0          0

 wt    733    1        0          0

 wt    734    1        0          0

 wt    735    1        0          0

 wt    736    1        0          0

 wt    737    1        0          0

 wt    738    1        0          0

 wt    739    1        0          0

 wt    740    1        0          0

 wt    741    1        0          0

 wt    742    1        0          0

 wt    743    1        0          0

 wt    744    1        0          0

 wt    745    1        0          0

 wt    746    1        0          0

 wt    747    1        0          0

 wt    748    1        0          0

 wt    749    1        0          0

 wt    750    1        0          0

 wt    751    1        0          0

 wt    752    1        0          0

 wt    753    1        0          0

 wt    754    1        0          0

 wt    755    1        0          0

 wt    756    1        0          0

 wt    757    1        0          0

 wt    758    1        0          0

 wt    759    1        0          0

 wt    760    1        0          0

 wt    761    1        0          0

 wt    762    1        0          0

 wt    763    1        0          0

 wt    764    1        0          0

 wt    765    1        0          0

 wt    766    1        0          0

 wt    767    1        0          0

 wt    768    1        0          0

 wt    769    1        0          0

 wt    770    1        0          0

 wt    771    1        0          0

 wt    772    1        0          0

 wt    773    1        0          0

 wt    774    1        0          0

 wt    775    1        0          0

 wt    776    1        0          0

 wt    777    1        0          0

 wt    778    1        0          0

 wt    779    1        0          0

 wt    780    1        0          0

 wt    781    1        0          0

 wt    782    1        0          0

 wt    783    1        0          0

 wt    784    1        0          0

 wt    785    1        0          0

 wt    786    1        0          0

 wt    787    1        0          0

 wt    788    1        0          0

 wt    789    1        0          0

 wt    790    1        0          0

 wt    791    1        0          0

 wt    792    1        0          0

 wt    793    1        0          0

 wt    794    1        0          0

 wt    795    1        0          0

 wt    796    1        0          0

 wt    797    1        0          0

 wt    798    1        0          0

 wt    799    1        0          0

 wt    800    1        0          0

 wt    801    1        0          0

 wt    802    1        0          0

 wt    803    1        0          0

 wt    804    1        0          0

 wt    805    1        0          0

 wt    806    1        0          0

 wt    807    1        0          0

 wt    808    1        0          0

 wt    809    1        0          0

 wt    810    1        0          0

 wt    811    1        0          0

 wt    812    1        0          0

 wt    813    1        0          0

 wt    814    1        0          0

 wt    815    1        0          0

 wt    816    1        0          0

 wt    817    1        0          0

 wt    818    1        0          0

 wt    819    1        0          0

 wt    820    1        0          0

 wt    821    1        0          0

 wt    822    1        0          0

 wt    823    1        0          0

 wt    824    1        0          0

 wt    825    1        0          0

 wt    826    1        0          0

 wt    827    1        0          0

 wt    828    1        0          0

 wt    829    1        0          0

 wt    830    1        0          0

 wt    831    1        0          0

 wt    832    1        0          0

 wt    833    1        0          0

 wt    834    1        0          0

 wt    835    1        0          0

 wt    836    1        0          0

 wt    837    1        0          0

 wt    838    1        0          0

 wt    839    1        0          0

 wt    840    1        0          0

 wt    841    1        0          0

 wt    842    1        0          0

 wt    843    1        0          0

 wt    844    1        0          0

 wt    845    1        0          0

 wt    846    1        0          0

 wt    847    1        0          0

 wt    848    1        0          0

 wt    849    1        0          0

 wt    850    1        0          0

 wt    851    1        0          0

 wt    852    1        0          0

 wt    853    1        0          0

 wt    854    1        0          0

 wt    855    1        0          0

 wt    856    1        0          0

 wt    857    1        0          0

 wt    858    1        0          0

 wt    859    1        0          0

 wt    860    1        0          0

 wt    861    1        0          0

 wt    862    1        0          0
-----------------------------------------

[1] "Bridgeness calculated"
[1] "Plotting Bridgeness"
Saving 7.92 x 5.65 in image
Warning: ggrepel: 12 unlabeled data points (too many overlaps). Consider increasing max.overlaps
[1] "fc"
[1] "Starting for algorithm"
[1] "Consensus Matrix created"

----------------------------------------
 alg   C     Cn     Crob     CrobScaled
----- ---- ------ --------- ------------
 fc    1    1100   0.1967      0.2951

 fc    2    858    0.1965      0.2948

 fc    3    237    0.2017      0.3026

 fc    4    1340   0.2026      0.304

 fc    5    965    0.1981      0.2971

 fc    6     63    0.2131      0.3197

 fc    7     46    0.1737      0.2605

 fc    8     36    0.1977      0.2965

 fc    9     35    0.1909      0.2863

 fc    10    37     0.234      0.3509

 fc    11    24     0.194      0.291

 fc    12    14    0.1813      0.272

 fc    13    9     0.2259      0.3389

 fc    14    5      0.19       0.285

 fc    15    5     0.2867       0.43

 fc    16    5     0.1383      0.2075

 fc    17    4     0.1556      0.2333

 fc    18    6     0.2733       0.41

 fc    19    4      0.15       0.225

 fc    20    4     0.1528      0.2292

 fc    21    3     0.08333     0.125

 fc    22    4     0.2417      0.3625

 fc    23    3     0.1333       0.2

 fc    24    4       0.2        0.3

 fc    25    3     0.3333       0.5

 fc    26    3     0.1667       0.25

 fc    27    2     0.6667        1

 fc    28    2        0          0

 fc    29    4        0          0

 fc    30    4     0.1667       0.25

 fc    31    4     0.1167      0.175

 fc    32    2        0          0

 fc    33    2     0.3333       0.5

 fc    34    2        0          0

 fc    35    2        0          0

 fc    36    2        0          0
----------------------------------------

[1] "Bridgeness calculated"
[1] "Plotting Bridgeness"
Saving 7.92 x 5.65 in image
Warning: ggrepel: 9 unlabeled data points (too many overlaps). Consider increasing max.overlaps
[1] "infomap"
[1] "Starting for algorithm"
[1] "Consensus Matrix created"

---------------------------------------------
   alg      C    Cn      Crob     CrobScaled
--------- ----- ----- ---------- ------------
 infomap    1    18    0.01351     0.03377

 infomap    2    159   0.01808      0.0452

 infomap    3    94    0.01373     0.03432

 infomap    4    18    0.01863     0.04657

 infomap    5    120   0.01936      0.0484

 infomap    6     7     0.1214      0.3036

 infomap    7    11    0.01727     0.04318

 infomap    8    14    0.01044      0.0261

 infomap    9    13    0.01218     0.03045

 infomap   10     8     0.0119     0.02976

 infomap   11     9     0.0162     0.04051

 infomap   12    48    0.01231     0.03077

 infomap   13    41    0.01717     0.04294

 infomap   14    11    0.03091     0.07727

 infomap   15    15    0.02238     0.05595

 infomap   16    14     0.1152      0.288

 infomap   17    10      0.02        0.05

 infomap   18    38    0.01444      0.0361

 infomap   19    83    0.02086     0.05215

 infomap   20    243   0.01461     0.03653

 infomap   21    15    0.02714     0.06786

 infomap   22    11    0.02091     0.05227

 infomap   23     7    0.04762      0.119

 infomap   24     9    0.01667     0.04167

 infomap   25    11    0.01667     0.04167

 infomap   26    155   0.01388     0.03469

 infomap   27    19    0.03333     0.08333

 infomap   28    225   0.01175     0.02937

 infomap   29    12    0.006061    0.01515

 infomap   30     6    0.07333      0.1833

 infomap   31    263   0.01574     0.03934

 infomap   32     4       0           0

 infomap   33    82    0.01627     0.04066

 infomap   34    19    0.01998     0.04995

 infomap   35    25     0.0215     0.05375

 infomap   36    11    0.02364     0.05909

 infomap   37     5      0.06        0.15

 infomap   38    10    0.02111     0.05278

 infomap   39     5       0           0

 infomap   40    12    0.02121     0.05303

 infomap   41    12    0.007576    0.01894

 infomap   42    100   0.01587     0.03968

 infomap   43     9    0.03333     0.08333

 infomap   44    219   0.01404     0.03509

 infomap   45    47    0.01596     0.03989

 infomap   46    18    0.02102     0.05256

 infomap   47     8       0           0

 infomap   48    27    0.009354    0.02339

 infomap   49    46    0.01841     0.04601

 infomap   50    11    0.01636     0.04091

 infomap   51    13    0.03932     0.09829

 infomap   52     7       0           0

 infomap   53    12    0.007576    0.01894

 infomap   54    10    0.02111     0.05278

 infomap   55    15    0.006667    0.01667

 infomap   56     6       0           0

 infomap   57     7    0.03968     0.09921

 infomap   58    13    0.008974    0.02244

 infomap   59    17    0.01409     0.03523

 infomap   60    10    0.01852      0.0463

 infomap   61    34    0.01762     0.04404

 infomap   62     7     0.0119     0.02976

 infomap   63    10    0.02444     0.06111

 infomap   64    19    0.007797    0.01949

 infomap   65    14    0.00989     0.02473

 infomap   66    12    0.005051    0.01263

 infomap   67     9    0.01944     0.04861

 infomap   68    31    0.01771     0.04427

 infomap   69     7    0.03095     0.07738

 infomap   70    11    0.008182    0.02045

 infomap   71     4       0           0

 infomap   72    72    0.02139     0.05349

 infomap   73    10    0.007407    0.01852

 infomap   74     9    0.02778     0.06944

 infomap   75    20    0.03544      0.0886
